,file_list,psnr,size
83,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_84_100.bmp,28.85655086003628,0.84
84, ,0.0,0.0
85,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_86_100.bmp,29.071313911787612,0.86
86, ,0.0,0.0
87,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_88_100.bmp,29.30780723603177,0.88
88,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_89_100.bmp,29.46781361162655,0.89
89,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_90_100.bmp,29.598342943105635,0.9
90, ,0.0,0.0
91,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_92_100.bmp,29.935168800294598,0.92
92,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_93_100.bmp,30.031999381322038,0.93
93, ,0.0,0.0
94,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_95_100.bmp,30.272946380478523,0.95
95, ,0.0,0.0
96,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_97_100.bmp,30.463158604161347,0.97
97, ,0.0,0.0
98,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_99_100.bmp,30.664169637870167,0.99
99,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_100_100.bmp,30.750517491819238,1.0
